"","number_non_response","response_rate"
"Q1",2,0.999043062200957
"CAS1",167,0.920095693779904
"CAS2",166,0.920574162679426
"CAS3",169,0.919138755980861
"CAS4",171,0.918181818181818
"CAS5",173,0.917224880382775
"PSS1",312,0.850717703349282
"PSS2",315,0.849282296650718
"PSS3",317,0.848325358851675
"PSS4",317,0.848325358851675
"PSS5",319,0.847368421052632
"PSS6",320,0.84688995215311
"PSS7",317,0.848325358851675
"PSS8",321,0.846411483253589
"PSS9",312,0.850717703349282
"PSS10",316,0.848803827751196
"MDI_1",215,0.897129186602871
"MDI_2",217,0.896172248803828
"MDI_3",216,0.896650717703349
"MDI_4",216,0.896650717703349
"MDI_5",217,0.896172248803828
"MDI_6",216,0.896650717703349
"MDI_7",217,0.896172248803828
"MDI_8",218,0.895693779904306
"MDI_9",218,0.895693779904306
"MDI_10",215,0.897129186602871
"MDI_11",218,0.895693779904306
"MDI_12",215,0.897129186602871
"Q1.1",320,0.84688995215311
"Q2",319,0.847368421052632
"Q3",316,0.848803827751196
"Q4",319,0.847368421052632
"Q5",317,0.848325358851675
"Q6",322,0.845933014354067
"Q7",322,0.845933014354067
"Q8",347,0.833971291866029
"Q9",322,0.845933014354067
"Q10",321,0.846411483253589
"Q11",326,0.844019138755981
"Q12",327,0.843540669856459
"Q13",327,0.843540669856459
"Q14",328,0.843062200956938
"Q15",328,0.843062200956938
"Q16",340,0.837320574162679
"Q17A",349,0.833014354066986
"Q17B",341,0.836842105263158
"Q18",337,0.838755980861244
"Q19A",334,0.840191387559809
"Q19B",344,0.835406698564593
"Q20A",341,0.836842105263158
"Q20B",341,0.836842105263158
"Q21",342,0.836363636363636
"Q22",340,0.837320574162679
"Q23",350,0.832535885167464
"Q24",344,0.835406698564593
"Q25",344,0.835406698564593
"Q26A",345,0.834928229665072
"Q26B",1785,0.145933014354067
"Q26C",1784,0.146411483253589
"Q26D",654,0.687081339712919
